,X,Title,Runtime,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical,Rating,Director,Lead,Votes,Budget,Sequel,Avg_rating_director,Avg_rating_lead
143,143,Turning Red,100,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Domee Shi,Rosalie Chiang,"130,491",175000000,0,7,7
144,144,Sing 2,110,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,Garth Jennings,Matthew McConaughey,"73,027",85000000,1,7.25,7.76
145,145,A Star Is Born,136,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.6,Bradley Cooper,Lady Gaga,"393,507",36000000,1,7.6,7.1
146,146,Hacksaw Ridge,139,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8.1,Mel Gibson,Andrew Garfield,"540,909",40000000,0,7.7,7.5
147,147,Eternals,156,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.3,Chloé Zhao,Gemma Chan,"352,316",200000000,0,6.8,6.3
148,148,Ant-Man,117,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,Peyton Reed,Paul Rudd,"684,776",130000000,0,7.15,6.833333333
149,149,Shutter Island,138,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.2,Martin Scorsese,Leonardo DiCaprio,"1,342,532",80000000,0,7.95,7.754545455
150,150,Kick-Ass,117,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.6,Matthew Vaughn,Aaron Taylor-Johnson,"571,227",30000000,0,7.18,7
151,151,Eternal Sunshine of the Spotless Mind,108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8.3,Michel Gondry,Jim Carrey,"1,022,296",20000000,0,8.3,8.3
152,152,Gone Girl,149,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.1,David Fincher,Ben Affleck,"999,052",61000000,0,7.84,6.725
153,153,Wrath of Man,119,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.1,Guy Ritchie,Jason Statham,"185,481",40000000,0,7.32,6.35
154,154,The Greatest Showman,105,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.5,Michael Gracey,Hugh Jackman,"289,184",84000000,0,7.5,7.8
155,155,Bohemian Rhapsody,134,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.9,Bryan Singer,Rami Malek,"549,697",50000000,0,7.4,7.9
156,156,Ghostbusters: Afterlife,124,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.1,Jason Reitman,Carrie Coon,"188,958",75000000,1,7.3,7.1
157,157,Fantastic Beasts: The Secrets of Dumbledore,142,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.2,David Yates,Eddie Redmayne,"149,029",200000000,1,7.257142857,6.633333333
158,158,Godzilla vs. Kong,113,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.3,Adam Wingard,Alexander Skarsgård,"216,017",160000000,1,6.3,6.7
159,159,The Grand Budapest Hotel,99,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.1,Wes Anderson,Ralph Fiennes,"827,243",25000000,0,7.7,7.2
160,160,Tusk,102,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.3,Kevin Smith,Justin Long,"57,396",3000000,0,5.8,5.3
161,161,Death on the Nile,127,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.3,Kenneth Branagh,Tom Bateman,"157,584",90000000,0,6.8,6.3
162,162,The Mummy Returns,130,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.4,Stephen Sommers,Brendan Fraser,"332,370",98000000,1,6.4,6.466666667
163,163,Weird: The Al Yankovic Story,108,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,Eric Appel,Diedrich Bader,"27,089",8000000,0,7,7
164,164,The Dark Knight Rises,164,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.4,Christopher Nolan,Christian Bale,"1,726,180",250000000,1,8.133333333,7.5625
165,165,Avengers: Infinity War,149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.4,Anthony Russo,Robert Downey Jr.,"1,105,231",316000000,1,7.78,7.7
166,166,Harry Potter and the Deathly Hallows: Part 2,130,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8.1,David Yates,Daniel Radcliffe,"891,308",125000000,1,7.257142857,7.6875
167,167,Ready or Not,95,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.8,Matt Bettinelli-Olpin,Samara Weaving,"159,831",6000000,0,6.55,6.8
168,168,Call Me by Your Name,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8,Luca Guadagnino,Timothée Chalamet,"283,433",3500000,0,7.133333333,7.566666667
169,169,The Great Gatsby,143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.2,Baz Luhrmann,Leonardo DiCaprio,"558,864",105000000,0,7.366666667,7.754545455
170,170,There Will Be Blood,158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,Paul Thomas Anderson,Daniel Day-Lewis,"596,560",25000000,0,7.7,8.2
171,171,Superbad,113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,Greg Mottola,Michael Cera,"593,546",20000000,0,7.6,7.55
172,172,Rogue One: A Star Wars Story,133,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.8,Gareth Edwards,Felicity Jones,"650,781",200000000,1,7.1,7.8
173,173,Prospect,100,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.3,Christopher Caldwell,Sophie Thatcher,"29,935",4000000,0,6.3,6.3
174,174,The Count of Monte Cristo,131,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Kevin Reynolds,Jim Caviezel,"141,188",35000000,0,7.7,7.45
175,175,The Dreamers,115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.1,Bernardo Bertolucci,Michael Pitt,"124,901",15000000,0,7.1,7.1
176,176,Emily the Criminal,97,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.7,John Patton Ford,Aubrey Plaza,"38,355",2000000,0,6.7,6.7
177,177,Oldboy,120,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.4,Park Chan-wook,Choi Min-sik,"589,535",3000000,0,8.05,8.4
178,178,Oldboy,120,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.4,Park Chan-wook,Choi Min-sik,"589,535",30000000,1,8.05,8.4
179,179,Decision to Leave,139,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.3,Park Chan-wook,Park Hae-il,"37,588",10000000,0,8.05,7.3
180,180,Ticket to Paradise,104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.2,Ol Parker,George Clooney,"43,803",60000000,0,6.2,7.266666667
181,181,Hidden Figures,127,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7.8,Theodore Melfi,Taraji P. Henson,"237,495",25000000,0,7.8,7.8
182,182,Triple Frontier,125,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.4,J.C. Chandor,Ben Affleck,"133,720",115000000,0,6.75,6.725
183,183,F9: The Fast Saga,143,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.2,Justin Lin,Vin Diesel,"138,675",200000000,1,6.175,6.457142857
184,184,Mother!,121,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.6,Darren Aronofsky,Jennifer Lawrence,"232,815",30000000,0,7.466666667,6.857142857
185,185,Spider-Man,121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.4,Sam Raimi,Tobey Maguire,"830,250",139000000,0,6.866666667,6.85
186,186,West Side Story,156,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.2,Steven Spielberg,Ansel Elgort,"86,828",100000000,1,7.222222222,7.4
187,187,Jumanji: Welcome to the Jungle,119,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,Jake Kasdan,Dwayne Johnson,"391,372",90000000,1,6.8,6.455555556
188,188,The Lord of the Rings: The Two Towers,179,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,Peter Jackson,Elijah Wood,"1,688,219",94000000,1,8.114285714,8.866666667
189,189,Three Thousand Years of Longing,108,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.7,George Miller,Tilda Swinton,"40,454",60000000,0,7.4,6.8
190,190,Spider-Man: Into the Spider-Verse,117,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,Bob Persichetti,Shameik Moore,"548,466",90000000,1,8.4,8.4
191,191,"Lyle, Lyle, Crocodile",106,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,Josh Gordon,Javier Bardem,"9,841",50000000,0,6.1,6.1
192,192,Dunkirk,106,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Christopher Nolan,Fionn Whitehead,"674,325",100000000,0,8.133333333,7.8
193,193,After,105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.3,Jenny Gage,Josephine Langford,"58,241",14000000,0,5.3,5.15
194,194,The Equalizer 2,121,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.7,Antoine Fuqua,Denzel Washington,"166,128",62000000,1,6.933333333,7.18
195,195,Twilight,122,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.3,Catherine Hardwicke,Kristen Stewart,"468,737",37000000,0,6.05,5.233333333
196,196,The Son,123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,Florian Zeller,Vanessa Kirby,"5,464",6000000,0,7.2,6.2
197,197,Spotlight,129,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.1,Tom McCarthy,Mark Ruffalo,"477,957",20000000,0,8.1,7.85
198,198,Harry Potter and the Prisoner of Azkaban,142,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.9,Alfonso Cuarón,Daniel Radcliffe,"648,984",130000000,1,7.8,7.6875
199,199,The Equalizer,132,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.2,Antoine Fuqua,Denzel Washington,"380,084",55000000,0,6.933333333,7.18
200,200,Edge of Tomorrow,113,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.9,Doug Liman,Tom Cruise,"692,632",178000000,0,7.35,7.16875
201,201,Birdman or (The Unexpected Virtue of Ignorance),119,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Alejandro G. Iñárritu,Michael Keaton,"640,888",18000000,0,7.85,7.45
202,202,The Invitation,105,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5.3,Jessica M. Thompson,Nathalie Emmanuel,"23,117",10000000,0,5.3,5.3
203,203,Cars,117,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,John Lasseter,Owen Wilson,"432,966",120000000,0,7.2,7.3
204,204,The Avengers,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,Joss Whedon,Robert Downey Jr.,"1,405,793",220000000,0,7.65,7.7
205,205,Bones and All,131,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.9,Luca Guadagnino,Timothée Chalamet,"37,143",16000000,0,7.133333333,7.566666667
206,206,The King's Man,131,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.3,Matthew Vaughn,Ralph Fiennes,"153,943",100000000,1,7.18,7.2
207,207,Idiocracy,84,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5,Mike Judge,Luke Wilson,"168,246",2400000,0,6.5,6.5
208,208,We're the Millers,110,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Rawson Marshall Thurber,Jason Sudeikis,"459,090",37000000,0,6.666666667,7
209,209,Last Night in Soho,116,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,Edgar Wright,Thomasin McKenzie,"146,159",43000000,0,7.56,7
210,210,Pleasure,109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,Ninja Thyberg,Sofia Kappel,"18,714",2000000,0,6.4,6.4
211,211,Spirited Away,125,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.6,Hayao Miyazaki,Daveigh Chase,"778,616",19000000,0,8.4,7.95
212,212,Prey,100,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Dan Trachtenberg,Amber Midthunder,"202,227",65000000,0,7.15,7.1
213,213,The Hateful Eight,168,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.8,Quentin Tarantino,Samuel L. Jackson,"615,948",44000000,0,7.883333333,7.55
214,214,Her,126,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,Spike Jonze,Joaquin Phoenix,"627,921",23000000,0,8,8.066666667
215,215,Violent Night,112,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.7,Tommy Wirkola,David Harbour,"66,476",8000000,0,6.7,6.7
216,216,Drive,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Nicolas Winding Refn,Ryan Gosling,"656,032",15000000,0,7.8,7.4
217,217,The Irishman,209,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7.8,Martin Scorsese,Robert De Niro,"398,376",159000000,0,7.95,7.05
218,218,Divergent,139,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.6,Neil Burger,Shailene Woodley,"468,117",85000000,0,7,6.6
219,219,Zootopia,108,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Byron Howard,Ginnifer Goodwin,"509,940",150000000,0,8,8
220,220,Emancipation,132,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.1,Antoine Fuqua,Will Smith,"21,778",120000000,0,6.933333333,6.816666667
221,221,Ratatouille,111,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,Brad Bird,Brad Garrett,"754,929",150000000,0,7.833333333,8.1
222,222,See How They Run,98,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,Tom George,Kieran Hodgson,"51,774",40000000,0,6.5,6.5
223,223,Riddick,119,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,David Twohy,Vin Diesel,"170,543",38000000,0,6.5,6.457142857
224,224,Tropic Thunder,107,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.1,Ben Stiller,Ben Stiller,"425,927",92000000,0,6.966666667,6.8
225,225,Whitney Houston: I Wanna Dance with Somebody,144,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6.7,Kasi Lemmons,Naomi Ackie,"11,896",45000000,0,6.7,6.7
226,226,Licorice Pizza,133,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.2,Paul Thomas Anderson,Alana Haim,"124,004",40000000,0,7.7,7.2
227,227,Troy,163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.3,Wolfgang Petersen,Brad Pitt,"544,012",185000000,0,7.3,7.318181818
228,228,The Lost City,112,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,Aaron Nee,Sandra Bullock,"130,214",68000000,0,6.1,6.68
229,229,Slumdog Millionaire,120,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,Danny Boyle,Dev Patel,"854,299",15000000,0,7.566666667,7.3
230,230,The Passion of the Christ,127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.2,Mel Gibson,Jim Caviezel,"234,971",30000000,0,7.7,7.45
231,231,The Bad Guys,100,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,Pierre Perifel,Sam Rockwell,"46,053",70000000,0,6.8,6.8
232,232,Harry Potter and the Chamber of Secrets,161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.4,Chris Columbus,Daniel Radcliffe,"650,001",100000000,1,6.933333333,7.6875
233,233,A Man Called Ove,116,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.7,Hannes Holm,Rolf Lassgård,"61,318",50000000,0,7.7,7.7
234,234,A Quiet Place,90,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7.5,John Krasinski,Emily Blunt,"542,723",17000000,0,7.35,7.2
235,235,Deadpool,108,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Tim Miller,Ryan Reynolds,"1,055,257",58000000,0,7.1,7.12
236,236,R.I.P.D. 2: Rise of the Damned,102,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,Paul Leyden,Jeffrey Donovan,"3,888",130000000,1,4.5,4.5
237,237,Moana,107,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,Ron Clements,Auli'i Cravalho,"345,739",150000000,0,7.35,7.6
238,238,Nomadland,107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.3,Chloé Zhao,Frances McDormand,"167,569",5000000,0,6.8,7.7
239,239,Nightmare Alley,150,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,Guillermo del Toro,Bradley Cooper,"149,926",60000000,0,7.525,7.35
240,240,Sing,108,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.1,Garth Jennings,Matthew McConaughey,"176,121",75000000,0,7.25,7.76
241,241,Sicario: Day of the Soldado,122,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,Stefano Sollima,Benicio Del Toro,"153,637",35000000,1,7,7.05
242,242,Me Before You,106,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.4,Thea Sharrock,Emilia Clarke,"262,495",20000000,0,7.4,7.4
243,243,Star Wars: The Rise Of Skywalker,141,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.5,J.J. Abrams,Daisy Ridley,"461,198",275000000,1,7.22,7.066666667
244,244,Donnie Darko,113,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,Richard Kelly,Jake Gyllenhaal,"813,031",4500000,0,8,7.033333333
245,245,Iron Man,126,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,Jon Favreau,Robert Downey Jr.,"1,073,149",140000000,0,7.2,7.7
246,246,The Outfit,105,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Graham Moore,Mark Rylance,"50,049",5000000,0,7.1,7.1
247,247,The Matrix Resurrections,148,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,Lana Wachowski,Keanu Reeves,"256,780",190000000,1,5.7,6.633333333
248,248,Red Sparrow,140,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6.6,Francis Lawrence,Jennifer Lawrence,"190,789",69000000,0,6.871428571,6.857142857
249,249,Moonlight,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.4,Barry Jenkins,Mahershala Ali,"315,052",4000000,0,7.4,7.4
250,250,Crimes of the Future,107,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.9,David Cronenberg,Viggo Mortensen,"32,888",27000000,0,5.9,7.275
251,251,Guardians of the Galaxy Vol. 2,136,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,James Gunn,Chris Pratt,"695,614",200000000,1,7.6,6.914285714
252,252,Mortal Kombat,110,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,Simon McQuoid,Lewis Tan,"178,413",55000000,1,6,6
253,253,The Hobbit: An Unexpected Journey,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.8,Peter Jackson,Martin Freeman,"838,725",180000000,1,8.114285714,7.8
254,254,12 Years a Slave,134,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,8.1,Steve McQueen,Chiwetel Ejiofor,"710,621",20000000,0,7.65,8.1
255,255,The Pianist,150,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,8.5,Roman Polanski,Adrien Brody,"845,837",35000000,0,8.5,8.5
256,256,The Lobster,119,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7.1,Yorgos Lanthimos,Colin Farrell,"265,695",4000000,0,7.3,7.45
257,257,The Revenant,156,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,Alejandro G. Iñárritu,Leonardo DiCaprio,"819,694",135000000,0,7.85,7.754545455
258,258,Beauty and the Beast,129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.1,Bill Condon,Emma Watson,"315,977",160000000,1,6.3,7.1
259,259,City of God,130,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.6,Fernando Meirelles,Alexandre Rodrigues,"765,056",3300000,0,8.6,8.6
260,260,Strange World,102,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,Don Hall,Jake Gyllenhaal,"36,945",120000000,0,6.45,7.033333333
261,261,Batman Begins,140,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.2,Christopher Nolan,Christian Bale,"1,489,665",150000000,1,8.133333333,7.5625
262,262,Bone Tomahawk,132,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,7.1,S. Craig Zahler,Kurt Russell,"105,950",1800000,0,7.1,7.05
263,263,The Last Duel,152,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7.4,Ridley Scott,Matt Damon,"162,332",100000000,0,7.211111111,7.22
264,264,Mission: Impossible - Fallout,147,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.7,Christopher McQuarrie,Tom Cruise,"340,848",178000000,1,7.366666667,7.16875
265,265,Halloween Ends,111,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,David Gordon Green,Jamie Lee Curtis,"57,963",33000000,1,5,5
266,266,The Notebook,123,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.8,Nick Cassavetes,Gena Rowlands,"583,200",29000000,0,7.8,7.8
267,267,Transformers,144,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Michael Bay,Shia LaBeouf,"646,923",150000000,0,6.316666667,7
268,268,Wonder Woman,141,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.4,Patty Jenkins,Gal Gadot,"668,468",149000000,1,6.4,6.4
269,269,This Is 40,134,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.2,Judd Apatow,Paul Rudd,"145,009",35000000,0,6,6.833333333
270,270,Kill Bill: Vol. 1,111,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.2,Quentin Tarantino,Uma Thurman,"1,130,524",30000000,0,7.883333333,8.2
271,271,Black Widow,134,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,Cate Shortland,Scarlett Johansson,"390,177",200000000,1,6.7,6.466666667
272,272,Nymphomaniac: Vol. I,117,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.9,Lars von Trier,Charlotte Gainsbourg,"126,720",4700000,0,6.7,6.75
273,273,Vanilla Sky,136,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.9,Cameron Crowe,Tom Cruise,"273,500",68000000,0,6.9,7.16875
274,274,Brokeback Mountain,134,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.7,Ang Lee,Jake Gyllenhaal,"364,690",14000000,0,7.8,7.033333333
275,275,The Town,125,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7.5,Ben Affleck,Ben Affleck,"398,158",37000000,0,7.6,6.725
276,276,300,117,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.6,Zack Snyder,Gerard Butler,"830,957",65000000,0,6.866666667,7.12
277,277,The Aviator,170,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.5,Martin Scorsese,Leonardo DiCaprio,"368,370",110000000,0,7.95,7.754545455
278,278,The Mist,126,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,7.1,Frank Darabont,Thomas Jane,"318,496",18000000,0,7.1,7.1
279,279,Room,118,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8.1,Lenny Abrahamson,Brie Larson,"427,933",13000000,0,8.1,7.45
280,280,Jurassic World,124,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,Colin Trevorrow,Chris Pratt,"652,163",150000000,1,6.25,6.914285714
281,281,Black Hawk Down,144,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7.7,Ridley Scott,Josh Hartnett,"403,541",92000000,0,7.211111111,7.7
282,282,House of Gucci,158,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.6,Ridley Scott,Lady Gaga,"142,651",75000000,0,7.211111111,7.1
283,283,Coco,105,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,Lee Unkrich,Anthony Gonzalez,"523,735",175000000,0,8.35,8.4
284,284,Frozen,102,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,Chris Buck,Kristen Bell,"634,642",150000000,0,7.4,7.25
285,285,Love Actually,135,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,Richard Curtis,Hugh Grant,"501,468",45000000,0,7.7,7.6
286,286,Kingsman: The Secret Service,129,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Matthew Vaughn,Colin Firth,"679,043",81000000,0,7.18,7.433333333
